"Category","Starred","Case","Title","Status","Opened By","Remaining Time - Hours","Priority","Correspondent"
"Feature","No","44","A desktop application - A desktop application that would live in the task tray and switch the background images every x minutes and will have images for the screen saver.","Active","Chuck Conway","","3 - Must Fix",""
"Feature","No","3","Add a link to photos - New flow","Active","Chuck Conway","","2 - Must Fix",""
"Bug","No","57","Add a tag reference feature - Add a tag reference feature. When I am adding descrption to an image or a tag, I can add a link to the image. Maybe even have a auto link feature. Where it scans the description for matching tags. If something is found, auto link it. Have the option ...","Active","Chuck Conway","","3 - Must Fix",""
"Feature","No","46","Add comment images, like with OpenId - Add comment images, like with OpenId","Active","Chuck Conway","","3 - Must Fix",""
"Feature","No","35","Add detailed public recent detail page - Add detailed public recent detail page","Active","Chuck Conway","","3 - Must Fix",""
"Feature","No","51","Add different landing page views - Add different landing page views: Full screen, random, blog view, Album, tag... maybe someting else.","Active","Chuck Conway","","3 - Must Fix",""
"Feature","No","47","Add full screen mode - Add full screen mode","Active","Chuck Conway","","3 - Must Fix",""
"Feature","No","38","Add Links to homepage statistics - Add Links to homepage statistics","Active","Chuck Conway","","3 - Must Fix",""
"Feature","No","27","Add realtime view of current tags... i.e. the spacing and dashes. - Add realtime view of current tags... i.e. the spacing and dashes.","Active","Chuck Conway","","3 - Must Fix",""
"Feature","No","16","Add Remove/clear key method to the SiteCookie class - Add Remove/clear key method to the SiteCookie class","Active","Chuck Conway","","3 - Must Fix",""
"Feature","No","33","Add Timeago - Add Timeago. Use the user entered date, or default to the ""added"" date.","Active","Chuck Conway","","3 - Must Fix",""
"Feature","No","7","Advance search - Advance search: Search by tags (multipule tags), search by name, search by album","Active","Chuck Conway","","3 - Must Fix",""
"Feature","No","18","Auto publish new photos to Facebook, flickr - Auto publish new photos to Facebook, flickr","Active","Chuck Conway","","3 - Must Fix",""
"Bug","No","56","Automatically discover locations via tag names - Automatically discover locations via tag names. If a tag can be geo located, then create a link, if possible a small bubble showing the location/map.","Active","Chuck Conway","","3 - Must Fix",""
"Feature","No","42","Browse Feature. Sort by: date, view status, recently added, tags - Browse Feature. Sort by: date, view status, recently added, tags","Active","Chuck Conway","","3 - Must Fix",""
"Feature","No","13","BUG: comments marked as spam show up  - BUG: comments marked as spam show up in the comment section of a photo.","Active","Chuck Conway","","3 - Must Fix",""
"Feature","No","65","Cache the usernames - When doing routing cache the usernames. This entails moving all the usernames into memory/HttpCache.","Active","Chuck Conway","","4 - Fix If Time",""
"Feature","No","31","clicking on a tag in the tag summary  - clicking on a tag in the tag summary takes you to a page with all the photos with that tag and in that album. The Tag summary is displayed at the bottom and shows all the tags from the whole album. i.e. the same tags found in the album landing page.","Active","Chuck Conway","","3 - Must Fix",""
"Feature","No","50","Create 2 or 3 homepage layouts that can be selected by users - Create 2 or 3 homepage layouts that can be selected by users","Active","Chuck Conway","","3 - Must Fix",""
"Feature","No","23","Create a colloboration feature - Create a colloboration feature. A user can queue and image into a bucket. The bucket will be someone's email address or container. A request will be sent off a collaborator. The request will contain a link back to the site with the ability to edit ...","Active","Chuck Conway","","3 - Must Fix",""
"Feature","No","21","Create a favorites photo list - Create a favorites photo list","Active","Chuck Conway","","3 - Must Fix",""
"Feature","No","29","Create Flag table - Create Flag table","Active","Chuck Conway","","3 - Must Fix",""
"Feature","No","26","Create Rollback UI - Create Rollback UI","Active","Chuck Conway","","3 - Must Fix",""
"Bug","No","64","Create the Landing Page - The Landing page is contains 20 or 30 items (images, text or videos). It's random.","Active","Chuck Conway","","3 - Must Fix",""
"Feature","No","66","Denormalize the users - This entails creating the code to flatten out the domain user object and persiting it to the Momntz database in the user table.","Active","Chuck Conway","","3 - Must Fix",""
"Bug","No","52","Denote in the UI when an image - Denote in the UI when an image has not been viewed by a user.","Active","Chuck Conway","","3 - Must Fix",""
"Feature","No","39","Each user has a ""Tagged"" album where friends - Each user has a ""Tagged"" album where friends have added new photos and tagged photos with their name. These are only ""In Network and Public"" photos. On the dashboard there is a list of recently tagged photos with your name...","Active","Chuck Conway","","3 - Must Fix",""
"Feature","No","12","enable auto related photos - enable auto related photos. This feature has to parts: One, a setting will enable the feature. It will also show the texted on the upload page description how uploading photos together shows relationships. The second pieice is a tag will be added to ...","Active","Chuck Conway","","3 - Must Fix",""
